"","gene","log2fc","pval","avg_expr","celltype"
"159","Ciita",5.69786777310635,0,1.03602250467646,"Immune_cells"
"160","Clec12a",7.49121383370646,0,0.230705948375927,"Immune_cells"
"161","Clec2i",5.94237133561968,0,-0.914458770196933,"Immune_cells"
"162","Clec4a1",6.12879245971603,0,-0.624263035768497,"Immune_cells"
"163","Clec4a2",7.88156550130684,0,-0.621228984317202,"Immune_cells"
"164","Clec4a3",7.89286626652387,0,-0.651609523311529,"Immune_cells"
"165","Clec4b1",5.83874105504915,0,-1.04021324979374,"Immune_cells"
"166","Clec4d",6.23094310639535,0,-0.974986905999681,"Immune_cells"
"167","Clec4n",6.93153783296212,0,-0.941393616248075,"Immune_cells"
"168","Clec5a",6.95983964854357,0,-0.874398084415652,"Immune_cells"
"169","Clec7a",8.91004834112345,0,-0.439068037126754,"Immune_cells"
"170","Cmklr1",6.08736252977173,0,0.00820399535317362,"Immune_cells"
"171","Cmtm7",4.20651999034088,0,2.92156788137731,"Immune_cells"
"172","Coro1a",7.75657799177045,0,0.670228534845483,"Immune_cells"
"173","Cotl1",3.86349611591095,0,4.33607759871838,"Immune_cells"
"174","Crlf3",3.27416587196494,0,4.57832749500216,"Immune_cells"
"175","Csf1r",8.71733429977663,0,0.846557180307134,"Immune_cells"
"176","Csf2ra",3.77959718742274,0,3.98153820196701,"Immune_cells"
"177","Csf2rb",7.32695231087996,0,-0.552549849542996,"Immune_cells"
"178","Csf2rb2",5.98830315738928,0,-0.943983810267047,"Immune_cells"
"179","Csf3r",7.96410514149983,0,-0.394510130224189,"Immune_cells"
"180","Cst7",5.05402306754951,0,-0.992056876005748,"Immune_cells"
"181","Ctsa",3.73277416365881,0,4.57554459735536,"Immune_cells"
"182","Ctsb",3.34076893246844,0,7.00783843055925,"Immune_cells"
"183","Ctsc",7.44607110531823,0,2.57915180926065,"Immune_cells"
"184","Ctsd",3.95628492617657,0,5.50920542357395,"Immune_cells"
"185","Ctsh",6.79309742638476,0,2.07987273874244,"Immune_cells"
"186","Ctss",9.08686791828872,0,2.00845274876536,"Immune_cells"
"187","Ctsz",3.49827904043275,0,5.4646677414424,"Immune_cells"
"188","Cx3cr1",5.59924980471478,0,3.6333460183976,"Immune_cells"
"189","Cxcl16",6.63644329278113,0,1.83841939898619,"Immune_cells"
"190","Cxcl2",8.48323522215227,0,0.444756923382556,"Immune_cells"
"191","Cxcr3",5.16018748042556,0,-1.05258361917266,"Immune_cells"
"192","Cxcr4",5.70932452387938,0,0.528030300623239,"Immune_cells"
"193","Cyba",5.83512784783139,0,2.99625000068165,"Immune_cells"
"194","Cybb",9.33747331766203,0,0.47742945729498,"Immune_cells"
"195","Cyp4f18",6.94854616928453,0,-0.357856775525148,"Immune_cells"
"196","Cyrib",2.75422950339918,0,6.93934587427224,"Immune_cells"
"197","Cyth4",8.37682548888396,0,0.0542494941771643,"Immune_cells"
"198","Cytip",7.16533825881585,0,0.651097045522939,"Immune_cells"
"199","Daglb",3.29143284250643,0,4.13819841904437,"Immune_cells"
"200","Dclre1c",3.75528909003789,0,4.69096825830686,"Immune_cells"
"201","Dennd4a",3.27848079106475,0,6.58204886826789,"Immune_cells"
"202","Dnase1l3",6.47727182928154,0,-0.704525268710867,"Immune_cells"
"203","Dock2",7.53334391366444,0,2.387113350386,"Immune_cells"
"204","Dock8",6.71022988822038,0,2.4305640747904,"Immune_cells"
"205","Dok1",4.30741911583451,0,0.734319836471733,"Immune_cells"
"206","E230029C05Rik",4.87323915021808,0,3.57988890220959,"Immune_cells"
"207","ENSMUSG00000110235.3",7.48507516178885,0,-0.233864436318495,"Immune_cells"
"208","Efhd2",4.59946920937655,0,3.56663407452211,"Immune_cells"
"209","Epsti1",5.869604018114,0,2.14965416302164,"Immune_cells"
"210","Evi2a",8.01390391638654,0,-0.16479216567765,"Immune_cells"
"211","Fcer1g",8.39734273495336,0,1.98926706815839,"Immune_cells"
"212","Fcgr1",8.49482345267602,0,-0.486702799702409,"Immune_cells"
"213","Fcgr2b",6.83359584565349,0,0.85110170011604,"Immune_cells"
"214","Fcgr3",7.84713602768467,0,0.556391111756659,"Immune_cells"
"215","Fcgr4",7.65637905770821,0,-0.399960485567685,"Immune_cells"
"216","Fcrl1",5.97819838476699,0,-0.931304839170416,"Immune_cells"
"217","Fcrl2",8.93116139469963,0,-0.347945840742551,"Immune_cells"
"218","Fermt3",5.54661302706774,0,1.98763443066006,"Immune_cells"
"219","Fes",5.36922700634857,0,1.10616350102347,"Immune_cells"
"220","Fgd3",6.01568857109197,0,0.990493999944597,"Immune_cells"
"221","Fgr",5.95942208694972,0,0.278140880012631,"Immune_cells"
"222","Fmnl1",4.53355217285236,0,2.48108074977525,"Immune_cells"
"223","Fyb1",8.55690194029156,0,1.77489910723751,"Immune_cells"
"224","Gatm",7.84620879157368,0,1.06774261308321,"Immune_cells"
"225","Gimap3",5.71274707762379,0,-0.776450838207001,"Immune_cells"
"226","Glipr1",7.53380063094658,0,0.837539143957636,"Immune_cells"
"227","Gm15503",5.60096408096828,0,-0.95154090786414,"Immune_cells"
